Category,Title,URL,Type,Official UPM Unit,Summary,Why it matters,Suggested NotebookLM Tag,Priority,Recommendation usefulness score
Academic Support,Study Programme Handbook,https://akademik.upm.edu.my/current_student/study_programme_handbook-8746,Webpage,Division of Admission and Division of Academic Governance,Official hub for current student programme handbooks and academic references.,Gives PutraInsight the official programme context needed before recommending academic guidance.,academic-support,High,95
Academic Support,Academic Calendar 2025/2026,https://akademik.upm.edu.my/current_student/academic_calendar_2025_2026-8724,Webpage,Division of Admission and Division of Academic Governance,Official academic calendar landing page for UPM session planning.,Supports timely nudges around registration classes breaks revision and examination periods.,academic-calendar,High,92
Academic Support,Bachelor Academic Calendar 2026/2027 PDF,https://akademik.upm.edu.my/upload/dokumen/20260331115844BACELOR.pdf,PDF,Division of Admission and Division of Academic Governance,Official bachelor programme academic calendar for session 2026/2027.,Useful for future-ready scheduling of success plans and support interventions.,academic-calendar,High,94
Academic Support,Bachelor Academic Calendar 2025/2026 PDF,https://akademik.upm.edu.my/upload/dokumen/20250410172706C_BACELOR_2025_2026.pdf,PDF,Division of Admission and Division of Academic Governance,Official bachelor programme calendar for session 2025/2026.,Grounds planning dates for the current competition year and demo scenarios.,academic-calendar,High,93
Academic Support,UPM Academic Rules for Undergraduate Academic Matters,https://akademik.upm.edu.my/upload/dokumen/menul320240110122853BGAKA1_Academic_Matter_opti.pdf,PDF,Division of Admission and Division of Academic Governance,Official English academic rules document covering undergraduate academic matters.,Helps recommendations stay aligned with UPM rules rather than generic study advice.,academic-rules,High,96
Academic Support,UPM Academic Matters for Undergraduates BM,https://akademik.upm.edu.my/upload/dokumen/menul320240110122817BGAKA1_Perkara_Akademik_opti.pdf,PDF,Division of Admission and Division of Academic Governance,Malay version of official undergraduate academic matters rules.,Enables Malay-language grounding for academic guidance and advisor workflows.,academic-rules,High,94
Academic Support,Postgraduate Student Handbook 2026,https://sgs.upm.edu.my/upload/dokumen/20260408095929Postgraduate_Student_Handbook_2026_-_with_cover_compressed.pdf,PDF,School of Graduate Studies,Official 2026 postgraduate handbook covering academic matters services and student support.,Provides graduate-student context if the platform expands beyond undergraduates.,postgraduate-support,Medium,84
Academic Advising and Mentor-Mentee,Academic Advising System Guideline,https://reg.upm.edu.my/eISO/docs/20150527123313GP003_GARIS%20PANDUAN%20SISTEM%20PENASIHATAN%20AKADEMIK.pdf,PDF,UPM Registrar Office,Official guideline for the UPM academic advising system.,Key source for mentor and advisor recommendations in a student success pathway.,academic-advising,High,97
Academic Advising and Mentor-Mentee,Undergraduate Academic Advising Rules,https://akademik.upm.edu.my/dokumen/BGAKA1_10132_SIARAN_UNDANG-UNDANG_%28Perkara_Akademik_Prasiswazah_2014.pdf,PDF,Division of Admission and Division of Academic Governance,Official legal-style document defining academic advisor appointment and duties.,Grounds advisor involvement in official responsibilities and student progress monitoring.,academic-advising,High,95
Academic Advising and Mentor-Mentee,Foundation Academic Advising,https://asasi.upm.edu.my/perkhidmatan/penasihatan_akademik-6033?L=bm,Webpage,UPM Foundation Studies Centre,Explains that each foundation student has an academic advisor and expected meetings.,Useful for showing that advising is a normal support structure rather than remedial action.,mentor-mentee,Medium,86
Student Welfare and Financial Support,Student Welfare Services,https://hep.upm.edu.my/perkhidmatan_kami/seksyen_kesejahteraan_mahasiswa-10053?L=bm,Webpage,Student Affairs Division,Official list of welfare services including aid food bank sponsorship and protection support.,Connects student needs to welfare pathways and support services.,student-welfare,High,95
Student Welfare and Financial Support,Student Financial Assistance,https://hep.upm.edu.my/perkhidmatan_kami/seksyen_kesejahteraan_mahasiswa/bantuan_kewangan_pelajar-36015?L=bm,Webpage,Student Affairs Division,Describes student welfare fund and advance loan assistance.,Enables respectful financial-support recommendations without stigma.,financial-support,High,94
Student Welfare and Financial Support,Sponsorship Status Update Application,https://hep.upm.edu.my/our_services/student_welfare_section/sponsorship_status_update_application-59256,Webpage,Student Affairs Division,Official process for updating sponsorship status through UPM student systems.,Supports administrative guidance for students navigating sponsor-related matters.,financial-support,Medium,82
Student Welfare and Financial Support,Sponsor Confirmation Letter Application,https://hep.upm.edu.my/our_services/student_welfare_section/application_for_sponsors_confirmation_letter-62241,Webpage,Student Affairs Division,Official procedure for student sponsorship information verification letters.,Useful for recommendations involving scholarship or sponsorship documentation.,financial-support,Medium,80
Counselling and Wellbeing,UPM Counselling Division Services,https://bkupm.upm.edu.my/services-2876,Webpage,UPM Counselling Division,Official services page for individual and group counselling guidance activities and psychological tools.,Core source for wellbeing support recommendations grounded in UPM services.,wellbeing,High,98
Counselling and Wellbeing,Counselling at UPM,https://upm.edu.my/perkhidmatan/keselamatan/kaunseling-8282,Webpage,Universiti Putra Malaysia,UPM page describing counselling sections contacts hours and access routes.,Provides practical contact details and positions counselling as holistic wellbeing support.,wellbeing,High,96
Counselling and Wellbeing,BKUPM Document Repository,https://bkupm.upm.edu.my/documentfile,Webpage,UPM Counselling Division,Document repository listing guidance for counselling sessions mental health cases and BKUPM procedures.,Useful for NotebookLM to ground counselling workflows in official service documents.,mental-health,High,93
Counselling and Wellbeing,UPM Well-being Page,https://upm.edu.my/content/well_being-76400?L=bm,Webpage,Universiti Putra Malaysia,UPM well-being content highlighting counselling sections and holistic wellbeing support.,Supports positive wellbeing framing in student recommendations.,wellbeing,High,90
Leadership and Student Development,Student Affairs Division About,https://hep.upm.edu.my/mengenai_kami-1671?L=bm,Webpage,Student Affairs Division,Explains BHEP roles including student activities leadership culture discipline welfare and services.,Frames PutraInsight as aligned with existing student affairs functions.,student-development,High,92
Leadership and Student Development,Leadership and Identity Section,https://hep.upm.edu.my/about_us/bahagian_hal_ehwal_pelajar-3738?L=bm,Webpage,Student Affairs Division,Shows BHEP entities including leadership identity wellbeing integrity and OKU support sections.,Maps recommendation categories to actual institutional units.,student-development,High,91
Leadership and Student Development,Kelab Penyayang UPM,https://hep.upm.edu.my/organisasi_pelajar/kepemimpinan/kelab_penyayang_universiti_putra_malaysia-61815,Webpage,Student Affairs Division,Official student organization page emphasizing volunteerism welfare community and self-training.,Good example of development opportunities that build service and wellbeing values.,volunteerism,Medium,88
Leadership and Student Development,Active Students Create a Vibrant Campus,https://hep.upm.edu.my/article/active_students_create_a_vibrant_campus-89643?L=bm,Webpage,Student Affairs Division,Article encouraging students to join programmes develop leadership teamwork discipline and identity.,Supports empowering recommendations for participation and belonging.,student-development,Medium,86
